time,open,high,low,close,volume
2022-04-07 16:00:00,9.81,9.815,9.81,9.81,27877
2022-04-07 15:00:00,9.82,9.82,9.81,9.81,13439
2022-04-07 13:00:00,9.82,9.82,9.82,9.82,101
2022-04-07 12:00:00,9.8221,9.8221,9.8212,9.8212,500
2022-04-06 17:00:00,9.82,9.82,9.82,9.82,1000000
2022-04-06 16:00:00,9.83,9.83,9.81,9.82,6899
2022-04-06 15:00:00,9.83,9.8311,9.83,9.8311,1824
2022-04-06 12:00:00,9.84,9.85,9.83,9.85,25300
2022-04-06 11:00:00,9.8388,9.85,9.8388,9.85,4294
2022-04-06 10:00:00,9.84,9.84,9.8,9.8,310
2022-04-05 16:00:00,9.8386,9.8386,9.82,9.82,113310
2022-04-05 15:00:00,9.83,9.85,9.82,9.83,169979
2022-04-05 14:00:00,9.82,9.82,9.82,9.82,1122
2022-04-05 13:00:00,9.82,9.83,9.82,9.83,116638
2022-04-05 12:00:00,9.815,9.815,9.815,9.815,2700
2022-04-05 11:00:00,9.81,9.82,9.81,9.815,169339
2022-04-05 10:00:00,9.79,9.82,9.79,9.82,1101
2022-04-04 16:00:00,9.81,9.81,9.805,9.81,619
2022-04-04 15:00:00,9.81,9.81,9.81,9.81,10734
2022-04-04 14:00:00,9.81,9.81,9.81,9.81,4695
2022-04-04 11:00:00,9.81,9.81,9.81,9.81,1898
2022-04-04 10:00:00,9.85,9.85,9.8,9.8,317
2022-04-01 16:00:00,9.805,9.81,9.8,9.8,1798
2022-04-01 15:00:00,9.81,9.81,9.8,9.8,206918
2022-04-01 14:00:00,9.8,9.8,9.8,9.8,4964
2022-04-01 13:00:00,9.79,9.79,9.79,9.79,3291
2022-04-01 12:00:00,9.8,9.8,9.8,9.8,1841
2022-04-01 10:00:00,9.81,9.82,9.795,9.795,31152
2022-03-31 16:00:00,9.81,9.81,9.8092,9.81,5078
2022-03-31 15:00:00,9.81,9.81,9.805,9.805,400
2022-03-31 14:00:00,9.81,9.81,9.8,9.81,18968
2022-03-31 13:00:00,9.81,9.81,9.81,9.81,1200
2022-03-31 12:00:00,9.81,9.81,9.805,9.81,2411
2022-03-31 11:00:00,9.805,9.81,9.8,9.81,34755
2022-03-31 10:00:00,9.76,9.805,9.76,9.8,7861
2022-03-30 16:00:00,9.805,9.805,9.8,9.8,503
2022-03-30 15:00:00,9.8,9.8,9.8,9.8,100
2022-03-30 14:00:00,9.795,9.8,9.795,9.8,5232
2022-03-30 13:00:00,9.79,9.79,9.79,9.79,2626
2022-03-30 12:00:00,9.77,9.79,9.77,9.79,17138
2022-03-30 11:00:00,9.7712,9.7712,9.7712,9.7712,2900
2022-03-30 10:00:00,9.77,9.77,9.77,9.77,100
2022-03-29 16:00:00,9.785,9.79,9.78,9.79,1239
2022-03-29 15:00:00,9.78,9.79,9.78,9.78,2043
2022-03-29 14:00:00,9.77,9.775,9.77,9.775,500
2022-03-29 13:00:00,9.775,9.775,9.775,9.775,100
2022-03-29 12:00:00,9.775,9.7789,9.775,9.7789,225
2022-03-29 11:00:00,9.77,9.79,9.77,9.78,195300
2022-03-29 10:00:00,9.79,9.79,9.79,9.79,205
2022-03-29 09:00:00,9.8,9.81,9.8,9.81,300
2022-03-28 16:00:00,9.78,9.785,9.775,9.785,5455
2022-03-28 15:00:00,9.775,9.78,9.77,9.78,1194
2022-03-28 14:00:00,9.78,9.78,9.775,9.775,283
2022-03-28 13:00:00,9.78,9.785,9.78,9.78,5247
2022-03-28 10:00:00,9.78,9.78,9.78,9.78,218
2022-03-25 16:00:00,9.78,9.78,9.78,9.78,282
2022-03-25 12:00:00,9.78,9.78,9.78,9.78,2197
2022-03-24 16:00:00,9.795,9.8,9.79,9.79,19428
2022-03-24 15:00:00,9.79,9.8,9.78,9.79,20397
2022-03-24 14:00:00,9.78,9.79,9.77,9.79,94469
2022-03-24 13:00:00,9.78,9.78,9.77,9.78,231132
2022-03-24 12:00:00,9.78,9.78,9.7726,9.78,16728
2022-03-24 11:00:00,9.78,9.78,9.77,9.78,131938
2022-03-24 10:00:00,9.79,9.79,9.765,9.78,11917
2022-03-23 17:00:00,9.78,9.78,9.78,9.78,1000000
2022-03-23 16:00:00,9.78,9.78,9.78,9.78,819
2022-03-23 13:00:00,9.78,9.78,9.7725,9.7725,400
2022-03-23 12:00:00,9.7791,9.7791,9.7791,9.7791,410
2022-03-23 11:00:00,9.775,9.775,9.775,9.775,14200
2022-03-23 10:00:00,9.76,9.78,9.76,9.78,414
2022-03-22 16:00:00,9.77,9.78,9.76,9.775,19190
2022-03-22 15:00:00,9.78,9.82,9.77,9.7706,429965
2022-03-22 14:00:00,9.77,9.77,9.765,9.77,77342
2022-03-22 13:00:00,9.76,9.77,9.76,9.77,26377
2022-03-22 11:00:00,9.76,9.76,9.76,9.76,1689
2022-03-22 10:00:00,9.76,9.76,9.755,9.755,2628
2022-03-21 16:00:00,9.76,9.765,9.76,9.76,35729
2022-03-21 15:00:00,9.76,9.76,9.76,9.76,300
2022-03-21 14:00:00,9.76,9.76,9.76,9.76,2380
2022-03-21 13:00:00,9.76,9.76,9.76,9.76,100
2022-03-21 11:00:00,9.76,9.76,9.76,9.76,50277
2022-03-21 10:00:00,9.76,9.77,9.75,9.76,174097
2022-03-18 16:00:00,9.765,9.7684,9.765,9.765,963
2022-03-18 15:00:00,9.765,9.765,9.765,9.765,200
2022-03-18 14:00:00,9.765,9.765,9.765,9.765,100
2022-03-18 13:00:00,9.77,9.775,9.765,9.77,34612
2022-03-18 11:00:00,9.7611,9.7611,9.7611,9.7611,200
2022-03-18 10:00:00,9.75,9.75,9.75,9.75,310
2022-03-17 16:00:00,9.76,9.765,9.76,9.76,1195
2022-03-17 15:00:00,9.75,9.76,9.75,9.76,5111
2022-03-17 14:00:00,9.76,9.76,9.75,9.755,10679
2022-03-17 13:00:00,9.76,9.76,9.76,9.76,3024
2022-03-17 10:00:00,9.75,9.76,9.75,9.76,10703
2022-03-16 16:00:00,9.77,9.77,9.77,9.77,120
2022-03-16 15:00:00,9.76,9.76,9.76,9.76,1915
2022-03-16 14:00:00,9.765,9.765,9.765,9.765,200
2022-03-16 12:00:00,9.76,9.765,9.76,9.765,58695
2022-03-16 11:00:00,9.76,9.76,9.76,9.76,115261
2022-03-16 10:00:00,9.77,9.77,9.76,9.76,21164
2022-03-16 09:00:00,9.79,9.79,9.78,9.78,400
2022-03-15 17:00:00,9.76,9.76,9.76,9.76,35935
2022-03-15 16:00:00,9.75,9.77,9.75,9.76,111521
2022-03-15 15:00:00,9.75,9.75,9.75,9.75,200
2022-03-15 12:00:00,9.76,9.76,9.75,9.76,52339
2022-03-15 11:00:00,9.755,9.76,9.75,9.755,1200
2022-03-15 10:00:00,9.76,9.76,9.75,9.75,50102
2022-03-14 16:00:00,9.75,9.755,9.75,9.75,314322
2022-03-14 15:00:00,9.75,9.755,9.75,9.755,1388
2022-03-14 14:00:00,9.755,9.775,9.755,9.76,91055
2022-03-14 13:00:00,9.757,9.765,9.75,9.755,395813
2022-03-14 12:00:00,9.75,9.76,9.75,9.76,714958
2022-03-14 11:00:00,9.76,9.76,9.76,9.76,662
2022-03-14 10:00:00,9.76,9.76,9.76,9.76,4680
2022-03-11 16:00:00,9.755,9.755,9.75,9.75,800
2022-03-11 15:00:00,9.75,9.75,9.75,9.75,19350
2022-03-11 14:00:00,9.755,9.755,9.755,9.755,250
2022-03-11 13:00:00,9.7574,9.7574,9.75,9.75,502
2022-03-11 12:00:00,9.7543,9.76,9.75,9.76,13030
2022-03-10 16:00:00,9.75,9.755,9.75,9.75,49052
2022-03-10 14:00:00,9.76,9.76,9.75,9.75,101000
2022-03-10 13:00:00,9.7501,9.7501,9.7501,9.7501,768
2022-03-10 10:00:00,9.74,9.75,9.7399,9.75,16032
2022-03-09 16:00:00,9.755,9.76,9.75,9.75,7539
2022-03-09 12:00:00,9.76,9.76,9.76,9.76,100000
2022-03-09 10:00:00,9.76,9.76,9.75,9.75,547
