time,open,high,low,close,volume
2022-04-07 17:00:00,55.55,55.55,55.55,55.55,1170
2022-04-07 16:00:00,55.595,55.85,55.38,55.56,38317
2022-04-07 15:00:00,55.37,55.64,55.27,55.595,7282
2022-04-07 14:00:00,55.04,55.44,55.04,55.24,7883
2022-04-07 13:00:00,54.8213,54.9,54.65,54.9,4114
2022-04-07 12:00:00,55.15,55.15,54.71,54.88,26823
2022-04-07 11:00:00,55.28,55.28,54.76,55.06,21297
2022-04-07 10:00:00,55.38,55.72,55.05,55.53,12474
2022-04-06 17:00:00,55.29,55.29,55.29,55.29,595
2022-04-06 16:00:00,55.32,55.465,54.96,55.3,36227
2022-04-06 15:00:00,55.01,55.41,54.87,55.375,8623
2022-04-06 14:00:00,55.23,55.39,55.16,55.16,6498
2022-04-06 13:00:00,55.38,55.58,55.27,55.27,24031
2022-04-06 12:00:00,55.45,55.63,55.235,55.43,47723
2022-04-06 11:00:00,55.51,55.65,54.61,55.385,17346
2022-04-06 10:00:00,55.51,55.785,55.18,55.53,9544
2022-04-06 08:00:00,55.9,55.9,55.9,55.9,178
2022-04-05 17:00:00,55.9,55.9,55.9,55.9,1083
2022-04-05 16:00:00,56.315,56.315,55.515,55.92,67876
2022-04-05 15:00:00,56.4525,56.66,56.27,56.27,9961
2022-04-05 14:00:00,56.8775,56.8775,56.425,56.48,10561
2022-04-05 13:00:00,56.63,56.865,56.5,56.855,9439
2022-04-05 12:00:00,56.45,56.71,56.45,56.56,11066
2022-04-05 11:00:00,57.23,57.3,56.3,56.485,14460
2022-04-05 10:00:00,57.11,57.69,56.87,57.07,8717
2022-04-04 17:00:00,57.27,57.27,57.27,57.27,11761
2022-04-04 16:00:00,57.36,57.52,57.21,57.27,48521
2022-04-04 15:00:00,57.1,57.51,57.1,57.38,22477
2022-04-04 14:00:00,57.025,57.28,57.01,57.085,21090
2022-04-04 13:00:00,57.34,57.34,56.94,57.045,14742
2022-04-04 12:00:00,57.29,57.435,57.04,57.4,17300
2022-04-04 11:00:00,57.03,57.26,56.42,57.25,10900
2022-04-04 10:00:00,58.0,58.0,56.86,56.86,5902
2022-04-01 17:00:00,58.0,58.0,58.0,58.0,5901
2022-04-01 16:00:00,58.11,58.39,57.9,57.93,78142
2022-04-01 15:00:00,58.16,58.33,58.06,58.13,33610
2022-04-01 14:00:00,57.9,58.26,57.87,58.16,35389
2022-04-01 13:00:00,58.13,58.13,57.8,57.955,12294
2022-04-01 12:00:00,57.97,58.21,57.68,58.04,14014
2022-04-01 11:00:00,58.06,58.06,57.35,58.01,22759
2022-04-01 10:00:00,57.3,58.05,57.16,58.05,10228
2022-03-31 17:00:00,57.25,57.25,55.01,55.01,3510
2022-03-31 16:00:00,57.1,57.34,57.0258,57.26,84659
2022-03-31 15:00:00,57.16,57.25,56.76,57.17,59637
2022-03-31 14:00:00,57.27,57.325,57.08,57.22,12117
2022-03-31 13:00:00,57.39,57.53,57.145,57.18,13319
2022-03-31 12:00:00,57.28,57.37,57.09,57.31,24953
2022-03-31 11:00:00,57.46,57.4933,57.1,57.3,29740
2022-03-31 10:00:00,57.21,57.71,57.19,57.57,11295
2022-03-30 17:00:00,57.34,57.34,57.34,57.34,488
2022-03-30 16:00:00,57.315,57.34,56.89,57.34,98681
2022-03-30 15:00:00,57.51,57.7,57.28,57.31,13575
2022-03-30 14:00:00,57.69,57.69,57.4,57.49,19571
2022-03-30 13:00:00,57.565,57.635,57.42,57.635,10347
2022-03-30 12:00:00,57.58,57.775,57.35,57.585,14892
2022-03-30 11:00:00,58.06,58.34,57.17,57.54,23420
2022-03-30 10:00:00,58.33,58.52,57.56,57.97,44090
2022-03-29 17:00:00,57.99,57.99,57.99,57.99,2142
2022-03-29 16:00:00,58.14,58.335,57.93,58.0,69710
2022-03-29 15:00:00,58.32,58.46,58.0,58.18,72536
2022-03-29 14:00:00,57.855,58.385,57.79,58.34,22762
2022-03-29 13:00:00,58.21,58.29,57.79,57.865,24519
2022-03-29 12:00:00,58.84,58.88,58.21,58.22,25881
2022-03-29 11:00:00,59.04,59.16,58.67,58.79,38003
2022-03-29 10:00:00,58.56,59.82,58.41,59.04,15867
2022-03-28 17:00:00,57.93,57.93,57.93,57.93,1442
2022-03-28 16:00:00,57.7,57.985,57.63,57.96,52169
2022-03-28 15:00:00,57.44,57.69,57.33,57.69,13345
2022-03-28 14:00:00,57.73,57.73,57.4,57.48,22582
2022-03-28 13:00:00,57.51,57.73,57.42,57.73,7350
2022-03-28 12:00:00,57.95,57.97,57.41,57.46,29704
2022-03-28 11:00:00,57.615,58.1,57.5347,57.95,7669
2022-03-28 10:00:00,58.42,58.42,57.4,57.675,4295
2022-03-25 17:00:00,58.14,58.14,58.14,58.14,1141
2022-03-25 16:00:00,58.0,58.16,57.65,58.14,51743
2022-03-25 15:00:00,57.92,58.02,57.83,58.0,24467
2022-03-25 14:00:00,57.64,57.88,57.62,57.875,12040
2022-03-25 13:00:00,57.88,58.05,57.655,57.77,27956
2022-03-25 12:00:00,58.2,58.2,57.475,57.82,10410
2022-03-25 11:00:00,57.435,58.24,57.43,58.24,44570
2022-03-25 10:00:00,57.58,57.795,57.15,57.59,6089
2022-03-24 17:00:00,57.48,57.48,57.48,57.48,788
2022-03-24 16:00:00,57.01,57.48,57.01,57.48,57183
2022-03-24 15:00:00,57.09,57.37,56.94,57.005,40204
2022-03-24 14:00:00,57.06,57.32,56.89,57.09,35679
